demand_change,staff,price_change,inventory_level,base_wait_time_minutes,base_revenue_per_day,base_stockout_risk,base_staff_utilisation,baseline_staff_count,wait_time,revenue,staff_utilisation,inventory_usage
25,4,5,65,13,1141,45,82,12,36,1454,100,34
-40,9,10,0,26,1520,50,71,8,15,960,37,41
10,11,5,95,24,4026,56,83,6,16,4461,50,15
25,5,-30,40,18,4991,64,64,7,29,4159,99,71
5,3,0,15,10,4542,18,68,7,19,4894,100,24
30,18,10,55,24,3521,78,79,12,23,5215,68,77
40,19,0,70,22,2946,76,84,9,19,4121,58,59
-45,1,-10,80,12,1181,62,52,11,34,601,97,15
-10,14,-25,90,17,2780,64,62,12,15,1970,47,19
0,11,-5,85,17,3255,26,62,4,8,3191,22,10
35,12,-5,90,14,5947,80,69,8,14,7795,63,36
5,3,25,60,11,1645,75,67,7,21,2125,100,53
-40,1,-25,30,26,1830,50,61,7,61,862,97,31
-50,17,-5,65,27,5691,31,56,3,4,2621,5,10
-15,9,-20,100,24,1562,21,63,10,22,1044,61,4
-15,3,30,100,27,4409,52,66,9,49,4769,100,9
10,18,10,100,27,5784,57,59,9,18,7178,33,13
-10,8,-10,25,15,875,54,70,8,14,718,62,52
15,10,-15,25,27,2866,65,72,8,27,2861,65,81
